sample,Species,Basin,panh1,panh2,panh3,panh4,panh5,panh6,panh7,panh8,panh9,panh10,panh11,panh12,panh13,panh14,panh15,panh16,panh17,panh18,panh19,panh20,panh21,panh22,panh23,panh24,panh25,panh26,panh27,panh28,panh29,panh30,panh31,pash1,pash2,pash3,pash4,pash5,pash6,pash7,pash8,pash9,pash10,pash11,pash12,pash13,pash14,pash15,pash16,pash17,pash18,pash19,pash20,paoh1,paoh2,paoh3,paoh4
YP_ES1,Yellow Perch,Eastern,41,0,1069,0,1,0,233,0,1,292,11,0,18,0,2,0,1,0,0,0,0,1,0,5,0,7,12,1,0,1,0,0,4,6,1,1,1,4,0,0,4,15,16,0,0,0,0,0,0,0,0,0,0,1,1
YP_ES2,Yellow Perch,Eastern,74,3,2040,6,1,0,5648,2,6,76,202,0,39,3,5,5,1,0,0,4,0,0,0,58,247,78,16,0,23,1,0,0,1,9,2,1,1,3,0,7,14,27,33,0,0,0,0,0,0,0,0,0,1,1,0
YP_ES3,Yellow Perch,Eastern,72,0,6100,6,0,0,3717,3,0,45,341,0,22,1,4,10,2,0,0,8,1,0,1,18,733,17,22,0,24,1,0,1,6,21,1,2,2,3,0,2,14,57,42,0,0,0,0,0,0,0,0,0,3,2,1
YP_ES4,Yellow Perch,Eastern,154,180,3593,13,15,4,976,13,0,384,47,1,43,2,4,11,2,0,0,3,4,5,1,19,147,38,46,0,62,1,0,1,13,21,3,2,3,4,0,1,8,0,0,0,0,0,0,0,1,0,2,0,2,0,0
YP_ES5,Yellow Perch,Eastern,80,50,3766,0,5,3,504,6,0,226,11,0,19,1,0,4,0,0,0,1,1,0,0,6,116,13,88,0,6,0,0,4,20,22,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YP_EC1,Yellow Perch,East Central,19,0,697,10,3,0,0,6,0,36,22,0,1,0,1,40,1,0,1,0,2,0,3,7,13,1,11,2,23,0,0,0,153,5,2,1,1,3,0,0,4,0,11,0,0,0,0,0,0,0,0,0,1100,0,0
YP_EC2,Yellow Perch,East Central,59,36,1028,16,9,0,2788,4,3,362,108,1,30,2,5,5,2,0,1,14,4,0,0,16,104,9,22,0,13,1,0,1,64,16,6,3,2,2,0,23,27,69,52,0,0,0,0,0,0,0,0,0,162,1,1
YP_EC3,Yellow Perch,East Central,19,23,614,11,2,0,117,3,0,31,42,0,51,362,10,12,1,0,2,25,10,0,2,14,41,4,27,0,34,0,0,1,222,4,4,1,2,2,1,41,12,45,0,0,0,0,0,0,0,0,0,0,666,0,1
YP_EC4,Yellow Perch,East Central,12,0,1492,25,0,0,191,26,0,222,76,0,36,1051,19,35,0,0,15,78,67,2,0,46,958,0,136,0,27,1,0,0,496,7,0,3,0,6,1,133,13,0,0,0,0,0,1,0,1,1,0,0,2013,0,0
YP_EC5,Yellow Perch,East Central,124,16,1922,58,26,0,74,216,14,7,120,0,8,4,34,96,15,0,2,2,6,0,2,34,0,3,22,8,62,0,0,2,383,30,19,23,15,11,1,0,136,288,244,0,0,0,3,0,1,0,0,0,3298,0,0
YP_WC1,Yellow Perch,West Central,0,3,97,2,2,0,7,1,0,0,7,0,2,72,1,3,0,0,1,1,0,1,16,81,211,72,71,2,274,6,3,0,0,14,37,0,0,0,0,0,0,0,0,59,0,52,0,13,26,0,0,89,46,0,0
YP_WC2,Yellow Perch,West Central,49,112,727,10,1,1,13,0,0,17,9,0,20,2,2,16,0,0,0,1,0,0,0,31,3415,27,2296,8,36,9,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,59,16,0,0
YP_WC3,Yellow Perch,West Central,65,316,747,1,0,3,55,0,0,31,14,0,26,15,4,41,0,0,1,4,0,0,0,133,2645,9,2914,21,0,12,0,0,10,7,27,4,0,0,1,0,14,0,0,0,0,0,15,0,16,7,0,135,66,0,1
YP_WC4,Yellow Perch,West Central,92,319,881,0,0,3,163,0,0,176,119,0,0,17,8,77,0,0,3,1,0,0,0,226,12646,5,9355,60,697,52,24,0,24,11,26,18,3,0,0,0,29,0,0,1949,0,14,6,0,4,0,0,190,109,0,0
YP_WC5,Yellow Perch,West Central,0,0,582,3,5,0,0,7,0,8,22,0,2,0,2,43,1,0,2,16,0,5,2,8,5822,0,2975,37,2,30,0,0,144,2,2,1,0,2,0,14,9,13,41,0,0,0,1,0,0,1,0,0,1459,0,28
YP_WE1,Yellow Perch,Western,407,71,47905,105,2,95,21042,0,5,1199,349,2,51,14,14,8,4,1,0,42,1,0,0,90,2497,103,1341,0,0,8,0,0,6,36,25,2,3,0,2,0,25,0,0,0,0,1,0,0,0,0,1,334,18,0,0
YP_WE2,Yellow Perch,Western,197,33,4754,0,0,34,882,18,0,41,21,1,50,0,2,0,0,0,0,0,0,0,0,46,1,44,112,0,0,1,0,0,12,11,10,6,7,8,0,0,26,28,33,0,0,0,0,0,1,0,0,0,9,0,0
YP_WE3,Yellow Perch,Western,176,90,7609,0,0,99,653,31,0,66,21,1,19,3,3,0,0,0,0,0,0,0,0,45,178,33,479,1,0,4,0,2,7,25,12,3,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,14,0,0
