"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",4.8999137736138,23.3329227314943,23.3329227314943
"comp 2",2.79396763117871,13.3046077675177,36.637530499012
"comp 3",2.2384367017624,10.6592223893447,47.2967528883567
"comp 4",2.03623099563862,9.69633807446962,56.9930909628263
"comp 5",1.41240888742678,6.72575660679417,63.7188475696205
"comp 6",1.14159367076179,5.43616033696091,69.1550079065814
"comp 7",1.02142764201543,4.86394115245441,74.0189490590358
"comp 8",0.886559387448536,4.22171136880255,78.2406604278384
"comp 9",0.791787796293504,3.77041807758811,82.0110785054265
"comp 10",0.691668979989952,3.29366180947596,85.3047403149024
"comp 11",0.578326507440761,2.75393574971791,88.0586760646203
"comp 12",0.547996877767893,2.60950894175187,90.6681850063722
"comp 13",0.424986784940062,2.02374659495268,92.6919316013249
"comp 14",0.376845368645629,1.79450175545538,94.4864333567803
"comp 15",0.307766201000269,1.46555333809652,95.9519866948768
"comp 16",0.28334430161972,1.34925857914153,97.3012452740183
"comp 17",0.235952383403107,1.12358277811004,98.4248280521283
"comp 18",0.138395462494417,0.659026011878178,99.0838540640065
"comp 19",0.118699884687801,0.565237546132385,99.6490916101389
"comp 20",0.0736907618708277,0.350908389861084,100
"comp 21",1.7103588580925e-31,8.14456599091665e-31,100
