"sample","species","basin","Variable1","Variable2","Variable3"
"YP_ES1","Yellow Perch","Eastern",4.95917099876966,0.33315636716465,0.879285909511057
"YP_ES2","Yellow Perch","Eastern",0.347835155162223,0.630120289244248,0.905967798956339
"YP_ES3","Yellow Perch","Eastern",0.0720712633338945,0.536681392073326,0.584017969554051
"YP_ES4","Yellow Perch","Eastern",-2.19110485299358,-0.276322834305524,4.1487964200862
"YP_ES5","Yellow Perch","Eastern",-2.1370862538915,-0.0872197660678395,2.7836981738146
"YP_EC1","Yellow Perch","East Central",2.89809851953934,0.876119881284476,2.65351367979557
"YP_EC2","Yellow Perch","East Central",1.69594047418003,0.960136628626313,1.9359756341908
"YP_EC3","Yellow Perch","East Central",2.68357804406667,1.04760832221577,2.73287982612124
"YP_EC4","Yellow Perch","East Central",-0.506660527420304,0.669566285581724,-2.11407695552725
"YP_EC5","Yellow Perch","East Central",2.95579405843591,0.844246927384202,2.62907025945408
"YP_WC1","Yellow Perch","West Central",0.791864047227305,-2.95635827688251,-3.84304789002317
"YP_WC2","Yellow Perch","West Central",-0.211506692737308,0.666226496613084,-4.79303594595245
"YP_WC3","Yellow Perch","West Central",-0.304292992166871,0.779350896658678,-4.54138572197707
"YP_WC4","Yellow Perch","West Central",-0.12209156494431,0.980575366614577,-4.44438691769183
"YP_WC5","Yellow Perch","West Central",-0.116478806755251,1.30014402993378,-4.6793560146078
"YP_WE1","Yellow Perch","Western",-0.72507670784485,0.223779449801206,0.833989691441892
"YP_WE2","Yellow Perch","Western",4.80902019415139,0.427650181724391,0.918347715903655
"YP_WE3","Yellow Perch","Western",-2.772804868486,-0.126092589952003,3.17494228763753
"YP_WE4","Yellow Perch","Western",-1.4421518863421,-0.157824342090063,1.03347137690172
"YP_WE5","Yellow Perch","Western",-0.357246772928168,0.363073400263716,0.500596270037506
"YP_WE6","Yellow Perch","Western",-2.56908069785317,-0.518729797636755,3.04489366702373
"YP_WE7","Yellow Perch","Western",0.0802617737786663,0.525209760126081,0.863099795372793
"GS_ES1","Gizzard Shad","Eastern",4.38075919346999,-0.0791374645184351,1.0809535268908
"GS_ES2","Gizzard Shad","Eastern",-2.50248332273296,-0.229746292625361,3.70355996853803
"GS_ES3","Gizzard Shad","Eastern",4.4664459879967,-0.0623742657115889,1.11587380175842
"GS_ES4","Gizzard Shad","Eastern",4.62121930485036,0.233476162051259,0.789410260941213
"GS_ES5","Gizzard Shad","Eastern",4.44965978681573,0.265758282293164,0.89566441045394
"GS_EC1","Gizzard Shad","East Central",0.474800178035091,-3.1139219693964,-3.84104512525743
"GS_EC2","Gizzard Shad","East Central",0.917544678835151,-2.96796227098156,-3.58478083070641
"GS_EC3","Gizzard Shad","East Central",-0.647757417253635,0.74131180344377,-5.08067669049762
"GS_EC4","Gizzard Shad","East Central",-0.531240836097835,1.01767327397754,-4.94272336440426
"GS_EC5","Gizzard Shad","East Central",0.497988897721356,-2.53926853497712,-3.49429029405389
"GS_WC1","Gizzard Shad","West Central",0.753465501790878,-2.83557932194994,-3.74813809735068
"GS_WC2","Gizzard Shad","West Central",0.60705699475479,-3.13189502562509,-3.75075740454211
"GS_WC3","Gizzard Shad","West Central",-0.23305853354111,1.16560000953914,-4.84113917030039
"GS_WC4","Gizzard Shad","West Central",-0.199639683509877,0.599138761545138,-3.83511555707912
"GS_WC5","Gizzard Shad","West Central",0.840363894545417,-2.70364436527808,-3.4586355903797
"GS_WE1","Gizzard Shad","Western",4.76962390503441,0.421235655749031,0.627782595704441
"GS_WE2","Gizzard Shad","Western",-2.84062332085978,-0.543131049505465,3.31705751482617
"GS_WE3","Gizzard Shad","Western",0.904273330336669,0.733744974400002,1.32192198993105
"GS_WE4","Gizzard Shad","Western",0.841439623078514,0.807813209550735,1.3760369216433
"GS_WE5","Gizzard Shad","Western",1.30386335455012,0.92435376681158,1.67803503147011
"GS_WE6","Gizzard Shad","Western",-2.16895138573448,-0.320627329463406,2.8372478758839
"GS_WE7","Gizzard Shad","Western",1.09320949481769,0.878519718852176,1.53204673073928
"GS_WE8","Gizzard Shad","Western",4.770850142971,0.191215362856268,0.818439056246135
"FD_ES1","Freshwater Drum","Eastern",-2.36250245172415,0.0577182986592932,3.17627508058499
"FD_ES2","Freshwater Drum","Eastern",4.13023819033032,-0.130815084381634,0.935842699212082
"FD_ES3","Freshwater Drum","Eastern",3.1272168148406,0.742452801194367,2.76651456094369
"FD_ES4","Freshwater Drum","Eastern",-2.85109769455457,-0.580811611836863,3.98185001728563
"FD_ES5","Freshwater Drum","Eastern",-2.75612839307995,-0.432723578699613,3.82588073981952
"FD_EC1","Freshwater Drum","East Central",4.06885231308682,-0.163811362594369,1.08205487031179
"FD_EC2","Freshwater Drum","East Central",-0.0234354297844589,0.477084245735197,0.0773996161016837
"FD_WC1","Freshwater Drum","West Central",-0.325839510956589,0.0540391971680885,-3.24832286761413
"FD_WC2","Freshwater Drum","West Central",0.936757957399199,-2.61678220844565,-3.36011770021338
"FD_WC3","Freshwater Drum","West Central",-1.15375505372955,0.624172345150015,-5.00612485708462
"FD_WC4","Freshwater Drum","West Central",-0.228387296995667,0.465764858989671,-3.67451599943768
"FD_WC5","Freshwater Drum","West Central",-0.817446738592952,0.553808155086841,-5.03566320290603
"FD_WE1","Freshwater Drum","Western",-0.367238830331693,0.608665828884132,-5.23095780191299
"FD_WE2","Freshwater Drum","Western",-0.273472757370758,-0.171638393128675,-3.2131881709336
