"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",4.64596264048413,25.8109035582452,25.8109035582452
"comp 2",2.35513872313136,13.0841040173965,38.8950075756417
"comp 3",2.1993614171458,12.2186745396989,51.1136821153406
"comp 4",1.58844364298632,8.82468690547957,59.9383690208202
"comp 5",1.2473018046435,6.92945447024169,66.8678234910619
"comp 6",1.17270336711278,6.51501870618211,73.382842197244
"comp 7",0.723196689882326,4.01775938823515,77.4006015854791
"comp 8",0.685560220523308,3.80866789179616,81.2092694772753
"comp 9",0.632854274774623,3.51585708208125,84.7251265593565
"comp 10",0.529953233484796,2.94418463047109,87.6693111898276
"comp 11",0.452573055803501,2.5142947544639,90.1836059442915
"comp 12",0.431549762924778,2.39749868291543,92.581104627207
"comp 13",0.337355154703072,1.87419530390596,94.4552999311129
"comp 14",0.317974370917214,1.76652428287341,96.2218242139863
"comp 15",0.241238235235769,1.3402124179765,97.5620366319628
"comp 16",0.218223612434448,1.2123534024136,98.7743900343764
"comp 17",0.158008323260906,0.877824018116144,99.6522140524926
"comp 18",0.0626014705513394,0.347785947507442,100
