"basin","analyte","p_value","significant"
"Eastern","panh1",0.175019175224081,FALSE
"East Central","panh1",0.00135044735533186,TRUE
"West Central","panh1",0.0117088298856087,TRUE
"Western","panh1",2.51398312456731e-05,TRUE
"Eastern","panh2",0.173737437374745,FALSE
"East Central","panh2",0.00542982515100754,TRUE
"West Central","panh2",0.0588933818186985,FALSE
"Western","panh2",0.0429710192601927,TRUE
"Eastern","panh3",0.0971761322838767,FALSE
"East Central","panh3",2.92520300987628e-05,TRUE
"West Central","panh3",4.72372223000721e-06,TRUE
"Western","panh3",0.000111513475080797,TRUE
"Eastern","panh4",0.00456670548071271,TRUE
"East Central","panh4",0.00133223275500241,TRUE
"West Central","panh4",0.00019403518123444,TRUE
"Western","panh4",0.003863800856424,TRUE
"Eastern","panh7",4.16998917472846e-05,TRUE
"East Central","panh7",0.00279753015210522,TRUE
"West Central","panh7",0.000437831010090307,TRUE
"Western","panh7",0.000962016430735596,TRUE
"Eastern","panh8",0.000914640954463973,TRUE
"East Central","panh8",0.246247726056572,FALSE
"West Central","panh8",0.000644254647354261,TRUE
"Western","panh8",0.16821972300462,FALSE
"Eastern","panh10",0.0485593736396036,TRUE
"East Central","panh10",0.161169607132235,FALSE
"West Central","panh10",0.0877681040033608,FALSE
"Western","panh10",0.00736857839011517,TRUE
"Eastern","panh11",0.000201072586792997,TRUE
"East Central","panh11",0.647337901515224,FALSE
"West Central","panh11",0.611304221200823,FALSE
"Western","panh11",0.0107905131237467,TRUE
"Eastern","panh12",0.506534926711645,FALSE
"East Central","panh12",0.0109173981725098,TRUE
"West Central","panh12",0.000276140813318539,TRUE
"Western","panh12",0.867801044970926,FALSE
"Eastern","panh13",0.57490420635034,FALSE
"East Central","panh13",0.0185118708422327,TRUE
"West Central","panh13",0.0946739590395176,FALSE
"Western","panh13",0.583708996381282,FALSE
"Eastern","panh15",0.340637323698362,FALSE
"East Central","panh15",0.00106710185574085,TRUE
"West Central","panh15",0.00260037959107809,TRUE
"Western","panh15",0.0208109184535452,TRUE
"Eastern","panh16",0.647411833670663,FALSE
"East Central","panh16",0.00508934974779069,TRUE
"West Central","panh16",0.142906062698378,FALSE
"Western","panh16",0.00201260477342713,TRUE
"Eastern","panh20",0.0542509338715709,FALSE
"East Central","panh20",0.396031764644348,FALSE
"West Central","panh20",0.114043706215342,FALSE
"Western","panh20",0.783895229548437,FALSE
"Eastern","panh21",0.080932813927251,FALSE
"East Central","panh21",3.54815332551248e-05,TRUE
"West Central","panh21",3.60124594215569e-05,TRUE
"Western","panh21",0.000138510681271285,TRUE
"Eastern","panh22",0.0611886705812167,FALSE
"East Central","panh22",0.000210179971235764,TRUE
"West Central","panh22",0.478530554123079,FALSE
"Western","panh22",0.180714968781149,FALSE
"Eastern","panh23",0.00974419298430772,TRUE
"East Central","panh23",0.0144294818491684,TRUE
"West Central","panh23",0.0296759706179997,TRUE
"Western","panh23",6.96899163392344e-08,TRUE
"Eastern","panh24",0.000983503823031499,TRUE
"East Central","panh24",0.0447287840581458,TRUE
"West Central","panh24",0.242651652870954,FALSE
"Western","panh24",2.84713510931432e-06,TRUE
"Eastern","panh26",0.0782870214936129,FALSE
"East Central","panh26",0.0137120455399322,TRUE
"West Central","panh26",0.548619562698301,FALSE
"Western","panh26",4.04854321762443e-05,TRUE
"Eastern","panh27",0.00659222488628916,TRUE
"East Central","panh27",7.58126273352891e-05,TRUE
"West Central","panh27",0.591969758997249,FALSE
"Western","panh27",7.317400165254e-07,TRUE
"Eastern","panh28",0.000131658360255639,TRUE
"East Central","panh28",3.37475657297751e-06,TRUE
"West Central","panh28",0.00438912568918378,TRUE
"Western","panh28",2.24938463536689e-09,TRUE
"Eastern","panh29",0.0243466210418621,TRUE
"East Central","panh29",1.46884584993921e-05,TRUE
"West Central","panh29",5.50447598656097e-05,TRUE
"Western","panh29",3.6971825724934e-07,TRUE
"Eastern","panh30",0.00263007363198303,TRUE
"East Central","panh30",2.67130088927924e-07,TRUE
"West Central","panh30",0.000637076337853601,TRUE
"Western","panh30",3.9458902301695e-05,TRUE
"Eastern","panh31",6.43603231155558e-06,TRUE
"East Central","panh31",0.499146740283804,FALSE
"West Central","panh31",0.525876250616262,FALSE
"Western","panh31",0.00214603120223162,TRUE
"Eastern","pash2",0.387129835439652,FALSE
"East Central","pash2",0.0573985850773693,FALSE
"West Central","pash2",0.139934559861928,FALSE
"Western","pash2",7.49528803714138e-05,TRUE
"Eastern","pash3",0.0004615516483985,TRUE
"East Central","pash3",0.0189567199522468,TRUE
"West Central","pash3",0.102661584427195,FALSE
"Western","pash3",0.0219121474790498,TRUE
"Eastern","pash4",0.406707384338136,FALSE
"East Central","pash4",0.00309537434934291,TRUE
"West Central","pash4",0.502319897941391,FALSE
"Western","pash4",0.351985993198273,FALSE
"Eastern","pash5",0.330807271536946,FALSE
"East Central","pash5",0.00843141330735077,TRUE
"West Central","pash5",0.617286420050568,FALSE
"Western","pash5",0.0863957473029648,FALSE
