"basin","analyte","p_value","significant"
"East Central","panh1",0.00242805970826458,TRUE
"Eastern","panh1",0.713104596490785,FALSE
"West Central","panh1",0.0735240720798831,FALSE
"Western","panh1",0.0206630688720449,TRUE
"East Central","panh11",0.000665755247326407,TRUE
"Eastern","panh11",0.000274442968580426,TRUE
"West Central","panh11",0.563459160375629,FALSE
"Western","panh11",0.0728394640722186,FALSE
"East Central","panh12",0.125953227617274,FALSE
"Eastern","panh12",0.724524956622482,FALSE
"West Central","panh12",2.18182403109334e-05,TRUE
"Western","panh12",0.279667291188799,FALSE
"East Central","panh13",0.00578005870603307,TRUE
"Eastern","panh13",0.594572178685757,FALSE
"West Central","panh13",0.1211719709177,FALSE
"Western","panh13",0.883648345479775,FALSE
"East Central","panh15",0.00693807278992858,TRUE
"Eastern","panh15",0.154306826238034,FALSE
"West Central","panh15",0.00178357516366018,TRUE
"Western","panh15",0.912849381599007,FALSE
"East Central","panh16",0.00121351732226253,TRUE
"Eastern","panh16",0.663434227317929,FALSE
"West Central","panh16",0.122674501852893,FALSE
"Western","panh16",0.000144953169268766,TRUE
"East Central","panh2",0.0814373462254866,FALSE
"Eastern","panh2",0.247889222525762,FALSE
"West Central","panh2",0.200866528495439,FALSE
"Western","panh2",0.200146416599751,FALSE
"East Central","panh20",0.0348513673531589,TRUE
"Eastern","panh20",0.0329718811285438,TRUE
"West Central","panh20",0.0870629446061146,FALSE
"Western","panh20",0.291557264619225,FALSE
"East Central","panh21",0.000614198922089619,TRUE
"Eastern","panh21",0.114034494098887,FALSE
"West Central","panh21",0.168861712704065,FALSE
"Western","panh21",0.901853326680499,FALSE
"East Central","panh25",0.00894017216924987,TRUE
"Eastern","panh25",0.0200721290794172,TRUE
"West Central","panh25",0.14222644334777,FALSE
"Western","panh25",0.0948742387947812,FALSE
"East Central","panh26",0.00147394986653206,TRUE
"Eastern","panh26",0.775776943064215,FALSE
"West Central","panh26",0.56289738198578,FALSE
"Western","panh26",0.0320356527108182,TRUE
"East Central","panh5",0.0645155885059647,FALSE
"Eastern","panh5",0.161857238815822,FALSE
"West Central","panh5",0.00540837447081198,TRUE
"Western","panh5",0.0471509297875912,TRUE
"East Central","pash18",0.125064017627489,FALSE
"Eastern","pash18",0.0246367120580402,TRUE
"West Central","pash18",0.113585867150116,FALSE
"Western","pash18",0.00633873176245089,TRUE
"East Central","pash2",0.000102432836063335,TRUE
"Eastern","pash2",0.891422234653146,FALSE
"West Central","pash2",0.481673773746205,FALSE
"Western","pash2",0.187021559451764,FALSE
"East Central","pash3",0.0235866050272054,TRUE
"Eastern","pash3",0.00101686681321459,TRUE
"West Central","pash3",0.221727320948989,FALSE
"Western","pash3",0.099982746149408,FALSE
"East Central","pash4",0.741864155074976,FALSE
"Eastern","pash4",0.251718407103912,FALSE
"West Central","pash4",0.0595217155243569,FALSE
"Western","pash4",0.0469537055419136,TRUE
"East Central","pash5",0.0638518529733699,FALSE
"Eastern","pash5",0.121066188260812,FALSE
"West Central","pash5",0.561260721413033,FALSE
"Western","pash5",0.0111948975850207,TRUE
"East Central","pash6",0.224881775278736,FALSE
"Eastern","pash6",0.929364341696779,FALSE
"West Central","pash6",0.0198774377527932,TRUE
"Western","pash6",0.842178707570046,FALSE
